english,chinese,unit
go to the park,去公园,x222
climb trees,爬树,x222
Be quiet,保持安静,x222
Do not touch,不要摸,x222
No parking,禁止停车,x222
keep off the grass,不践踏草坪,x222
No littering,禁止扔杂物,x222
No smoking,禁止吸烟,x222
at once,立刻，马上,x222
wrong number,打错电话,x222
feel ill,感觉病了,x222
open your mouth,张开嘴,x222
go to see a doctor,去看医生,x222
go to the hospital,去医院,x222
a bad cough,严重的咳嗽,x222
have a good rest,好好休息,x222
No eating and drinking,禁止吃喝,x222
welcome back to school,欢迎回到学校,x222
a new term,新学期,x222
in a week,在一周内,x222
eight subjects,八门课,x222
eight lessons,八节课,x222
what subjects,什么科目,x222
her students,她的学生,x222
the first lesson,第一节课,x222
Monday morning,星期一上午,x222
on Monday morning,在星期一上午,x222
take some medicine,吃药,x222
after lunch,午饭以后,x222
stay in bed,呆在床上,x222
the same hobby,相同的爱好,x222
a telephone call,一次电话通话,x222
in the  garden,在花园里,x222
water the flowers,浇花,x222
animal stamps,动物邮票,x222
cook food,做饭,x222
show…to…,出示…给…看,x222
grow flowers,种花,x222
Ben’s hobby Ben,的爱好,x222
some hobbies,一些爱好,x222
make clothes,做衣服,x222
wash clothes,洗衣服,x222
collect Chinese stamps,收集中国邮票,x222
many beautiful stamps,许多漂亮的邮票,x222
go shopping,购物,x222
collect stamps,收集邮票,x222
dance beautifully,跳舞跳得美,x222
take photos,拍照,x222
walk carefully,走路小心,x222
sit quietly,安静地坐,x222
run fast,跑得快,x222
jump high,跳得高,x222
from Monday to Friday,从周一到周五,x222
speak loudly,大声地说,x222
the same age,相同的年龄,x222
at school,在学校,x222
live in,居住,x222
a small town,一个小镇,x222
write a letter,写信,x222
play table tennis,打乒乓,x222
an English friend,一个英国朋友,x222
write an e-mail,发邮件,x222
every five minutes,每五分钟,x222
take bus No.5,乘5路车,x222
in the street,在街上,x222
in front of the cinema,在电影院前,x222
a new student,一个新学生,x222
a new teacher,一个新老师,x222
a big nose,一个大鼻子,x222
excuse me,打扰一下,x222
the boy in the tree,树上的那个男孩,x222
come down,下来,x222
climb trees,爬树,x222
come here,过来,x222
in the zoo,在动物园里,x222
the following week,下周,x222
the man over there,那边的那个男人,x222
the girl in a white skirt,那个穿白色短裙的女孩,x222
the boy with big eyes,大眼睛的那个男孩,x222
my brother,我的弟弟/哥哥,x222
which one,哪一个,x222
at a party,在聚会上,x222
the man with a big mouth,那个大嘴巴的男人,x222
the girl with a small nose,那个小鼻子女孩,x222
be late for school,上学迟到,x222
the one in red,那个穿红衣服的,x222
the woman with long hair,那个长头发的妇女,x222
the boy with big ears,大耳朵的那个男孩,x222
the one in the green shirt,那个穿绿色衬衫的男人,x222
in the car,在小汽车里,x222
my good friend,我的好朋友,x222
some grapes,一些葡萄,x222
how many kilos,多少公斤,x222
buy fruit,买水果,x222
some water,一些水,x222
her small eye,她的小眼睛,x222
play basketball,打篮球,x222
an old woman,一个老太太,x222
three kilos,三公斤,x222
I’d like,我想要,x222
these apples,这些苹果,x222
those oranges,那些桔子,x222
these or those,这些还是那些,x222
good idea,好主意,x222
play football,踢足球,x222
a glass of milk/ juice,一杯牛奶/果汁,x222
a cup of coffee/ tea,一杯咖啡/茶,x222
at a snack bar,在一家小吃店里,x222
something to eat,一些吃的东西,x222
Something to drink,一些喝的东西,x222
some noodles,一些面条,x222
How about---?,怎么样?,x222
orange/apple juice,桔汁/苹果汁,x222
go to school by bike,骑自行车去学校,x222
be free,有空,x222
in the school,在学校,x222
some chocolate,一些巧克力,x222
some sweets,一些糖果,x222
some dolls,一些洋娃娃,x222
very much,"很,非常",x222
near her school,在她的学校,x222
her parents,她的父母,x222
on the plate,在盘子里,x222
near your house,在你的房子附近,x222
how many,多少,x222
have a look,看一看,x222
go and see,去看看,x222
a lot of,许多,x222
a new building,一座新大楼,x222
see each other,互相见面,x222
at school,在学校,x222
all the students,所有的学生,x222
the first day of the new term,新学期的第一天,x222
in my classroom,在我的教室里,x222
a pair of chopsticks,一双筷子,x222
use chopsticks,用筷子,x222
on the sofa,在沙发上,x222
in the fridge,在冰箱里,x222
on the table,在桌上,x222
in the cupboard,在碗柜里,x222
open the blue box,打开蓝色的盒子,x222
on the table,在桌上,x222
On the chair,在椅子上,x222
in the playground,在操场上,x222
in the library,在图书馆里,x222
lots of books,许多书,x222
on the piano,在钢琴上,x222
some songbooks,一些歌本,x222
near the window,靠近窗,x222
some cakes,一些蛋糕,x222
in class,在课上,x222
in your classroom,在你的教室里,x222
big and bright,又大又明亮,x222
watch TV,看电视,x222
our classroom,我们的教室,x222
open day,接待日,x222
have some juice,喝点果汁,x222
get up,起床,x222
on the wall,在墙上,x222
at a Music lesson,在一节音乐课上,x222
two o’clock in the afternoon,下午两点钟,x222
look happy,看起来快乐,x222
in the cat's mouth,在猫的嘴里,x222
on my chair,在我的椅子上,x222
under the bed,在床下,x222
behind the door,在门后,x222
in the basket,在篮子里,x222
a map of China,一幅中国地图,x222
a map of the world,一幅世界地图,x222
in the music room,在音乐室里,x222
have a music lesson,上一节音乐课,x222
sing a song,"唱首歌,唱歌",x222
follow me,跟着我,x222
sing together,一起唱,x222
make a puppet,做木偶,x222
play on the swings,荡秋千,x222
play the violin,拉小提琴,x222
play the guitar,弹吉他,x222
put a book on your head,在你头上放一本书,x222
have an ice cream,吃冰淇淋,x222
after class,下课后,x222
play basketball,打篮球,x222
a Halloween party,一个万圣节聚会,x222
like masks,喜欢面具,x222
a pumpkin lantern,一个南瓜灯,x222
some sweets,一些糖果,x222
like swimming,喜欢游泳,x222
listen to music,听音乐,x222
play table tennis with friends,和朋友打乒乓,x222
on Saturdays and Sundays,在周六和周日,x222
open the door,开门,x222
write the new words,写新单词,x222
read the book,读书,x222
draw a picture,画一幅画,x222
drink the water,喝水,x222
this red vase,这个红色的花瓶,x222
in the picture,在图片里,x222
Sunday morning,星期天上午,x222
at home,在家,x222
do housework,做家务,x222
play computer games,打电脑游戏,x222
eat the noodles,吃面条,x222
put the flowers in the vase,把花放在花瓶里,x222
make a model plane,做飞机模型,x222
sweep the floor,扫地、擦地板,x222
clean the windows,擦窗户,x222
this afternoon,今天下午,x222
show us how to draw it,给我们看看怎么画它,x222
help me with my maths,帮助我学习数学,x222
a camping trip,一次野营旅行,x222
wash clothes,洗衣服,x222
near the hill,在小山附近,x222
do homework,做家庭作业,x222
a big tent,一个大帐篷,x222
a camping site,一个野营营地,x222
a tin of fish,一罐头鱼肉,x222
over there,在那边,x222
a tin of chicken,一罐头鸡肉,x222
two new blankets,两条新毛毯,x222
a box of chocolate,一盒巧克力,x222
some fruit,一些水果,x222
in the fridge,在冰箱里,x222
